Title,"HE student enrolments by HE provider, domicile, level of study, mode of study and country of HE provider",,,,,,
Location,UK,,,,,,
Academic years,2021/22,,,,,,
Data source,HESA,,,,,,
Data collection,"051,054",,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-7,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb265/figure-7.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2021/22 total,2862620,,,,,,
,,,,,,,
Last updated,Jan-23,,,,,,
,,,,,,,
UKPRN,HE provider,Level of study,Mode of study,Country of HE provider,Region of HE provider,Domicile,Number
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,London,Other UK,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,London,Total UK,5
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,London,Total Non-UK,20
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,London,Not known,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,London,Total,25
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,London,European Union,5
10008071,AA School of Architecture,Postgraduate (research),All,England,London,Non-European Union,15
10008071,AA School of Architecture,Postgraduate (research),All,England,London,England,5
10008071,AA School of Architecture,Postgraduate (research),All,England,London,Wales,0
10008071,AA School of Architecture,Postgraduate (research),All,England,London,Scotland,0
10008071,AA School of Architecture,Postgraduate (research),All,England,London,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (research),All,England,London,Other UK,0
10008071,AA School of Architecture,Postgraduate (research),All,England,London,Total UK,5
10008071,AA School of Architecture,Postgraduate (research),All,England,London,Total Non-UK,20
10008071,AA School of Architecture,Postgraduate (research),All,England,London,Not known,0
10008071,AA School of Architecture,Postgraduate (research),All,England,London,Total,25
10008071,AA School of Architecture,Postgraduate (research),All,England,London,European Union,5
10008071,AA School of Architecture,Postgraduate (research),All,All,London,Non-European Union,15
10008071,AA School of Architecture,Postgraduate (research),All,All,London,England,5
10008071,AA School of Architecture,Postgraduate (research),All,All,London,Wales,0
10008071,AA School of Architecture,Postgraduate (research),All,All,London,Scotland,0
10008071,AA School of Architecture,Postgraduate (research),All,All,London,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (research),All,All,London,Other UK,0
10008071,AA School of Architecture,Postgraduate (research),All,All,London,Total UK,5
10008071,AA School of Architecture,Postgraduate (research),All,All,London,Total Non-UK,20
10008071,AA School of Architecture,Postgraduate (research),All,All,London,Not known,0
10008071,AA School of Architecture,Postgraduate (research),All,All,London,Total,25
10008071,AA School of Architecture,Postgraduate (research),All,All,London,European Union,5
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,London,Non-European Union,15
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,London,England,5
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,London,Wales,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,London,Scotland,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,London,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,London,Other UK,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,London,Total UK,5
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,London,Total Non-UK,20
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,London,Not known,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,London,Total,25
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,London,European Union,5
10008071,AA School of Architecture,Postgraduate (research),All,All,All,Non-European Union,15
10008071,AA School of Architecture,Postgraduate (research),All,All,All,England,5
10008071,AA School of Architecture,Postgraduate (research),All,All,All,Wales,0
10008071,AA School of Architecture,Postgraduate (research),All,All,All,Scotland,0
10008071,AA School of Architecture,Postgraduate (research),All,All,All,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (research),All,All,All,Other UK,0
10008071,AA School of Architecture,Postgraduate (research),All,All,All,Total UK,5
10008071,AA School of Architecture,Postgraduate (research),All,All,All,Total Non-UK,20
10008071,AA School of Architecture,Postgraduate (research),All,All,All,Not known,0
10008071,AA School of Architecture,Postgraduate (research),All,All,All,Total,25
10008071,AA School of Architecture,Postgraduate (research),All,All,All,European Union,5
10008071,AA School of Architecture,Postgraduate (research),All,England,All,Non-European Union,15
10008071,AA School of Architecture,Postgraduate (research),All,England,All,England,5
10008071,AA School of Architecture,Postgraduate (research),All,England,All,Wales,0
10008071,AA School of Architecture,Postgraduate (research),All,England,All,Scotland,0
10008071,AA School of Architecture,Postgraduate (research),All,England,All,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (research),All,England,All,Other UK,0
10008071,AA School of Architecture,Postgraduate (research),All,England,All,Total UK,5
10008071,AA School of Architecture,Postgraduate (research),All,England,All,Total Non-UK,20
10008071,AA School of Architecture,Postgraduate (research),All,England,All,Not known,0
10008071,AA School of Architecture,Postgraduate (research),All,England,All,Total,25
10008071,AA School of Architecture,Postgraduate (research),All,England,All,European Union,5
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,All,Non-European Union,15
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,All,England,5
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,All,Wales,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,All,Scotland,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,All,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,All,Other UK,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,All,Total UK,5
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,All,Total Non-UK,20
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,All,Not known,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,All,Total,25
10008071,AA School of Architecture,Postgraduate (research),Full-time,All,All,European Union,5
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,All,Non-European Union,15
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,All,England,5
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,All,Wales,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,All,Scotland,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,All,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,All,Other UK,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,All,Total UK,5
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,All,Total Non-UK,20
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,All,Not known,0
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,All,Total,25
10008071,AA School of Architecture,Postgraduate (research),Full-time,England,All,European Union,5
10008071,AA School of Architecture,Postgraduate (taught),Full-time,England,London,Non-European Union,395
10008071,AA School of Architecture,Postgraduate (taught),Full-time,England,London,England,30
10008071,AA School of Architecture,Postgraduate (taught),Full-time,England,London,Wales,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,England,London,Scotland,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,England,London,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,England,London,Other UK,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,England,London,Total UK,30
10008071,AA School of Architecture,Postgraduate (taught),Full-time,England,London,Total Non-UK,410
10008071,AA School of Architecture,Postgraduate (taught),Full-time,England,London,Not known,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,England,London,Total,440
10008071,AA School of Architecture,Postgraduate (taught),Full-time,England,London,European Union,15
10008071,AA School of Architecture,Postgraduate (taught),All,England,London,Non-European Union,395
10008071,AA School of Architecture,Postgraduate (taught),All,England,London,England,30
10008071,AA School of Architecture,Postgraduate (taught),All,England,London,Wales,0
10008071,AA School of Architecture,Postgraduate (taught),All,England,London,Scotland,0
10008071,AA School of Architecture,Postgraduate (taught),All,England,London,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (taught),All,England,London,Other UK,0
10008071,AA School of Architecture,Postgraduate (taught),All,England,London,Total UK,30
10008071,AA School of Architecture,Postgraduate (taught),All,England,London,Total Non-UK,410
10008071,AA School of Architecture,Postgraduate (taught),All,England,London,Not known,0
10008071,AA School of Architecture,Postgraduate (taught),All,England,London,Total,440
10008071,AA School of Architecture,Postgraduate (taught),All,England,London,European Union,15
10008071,AA School of Architecture,Postgraduate (taught),All,All,London,Non-European Union,395
10008071,AA School of Architecture,Postgraduate (taught),All,All,London,England,30
10008071,AA School of Architecture,Postgraduate (taught),All,All,London,Wales,0
10008071,AA School of Architecture,Postgraduate (taught),All,All,London,Scotland,0
10008071,AA School of Architecture,Postgraduate (taught),All,All,London,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (taught),All,All,London,Other UK,0
10008071,AA School of Architecture,Postgraduate (taught),All,All,London,Total UK,30
10008071,AA School of Architecture,Postgraduate (taught),All,All,London,Total Non-UK,410
10008071,AA School of Architecture,Postgraduate (taught),All,All,London,Not known,0
10008071,AA School of Architecture,Postgraduate (taught),All,All,London,Total,440
10008071,AA School of Architecture,Postgraduate (taught),All,All,London,European Union,15
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,London,Non-European Union,395
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,London,England,30
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,London,Wales,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,London,Scotland,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,London,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,London,Other UK,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,London,Total UK,30
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,London,Total Non-UK,410
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,London,Not known,0
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,London,Total,440
10008071,AA School of Architecture,Postgraduate (taught),Full-time,All,London,European Union,15
10008071,AA School of Architecture,Postgraduate (taught),All,All,All,Non-European Union,395
10008071,AA School of Architecture,Postgraduate (taught),All,All,All,England,30
10008071,AA School of Architecture,Postgraduate (taught),All,All,All,Wales,0
10008071,AA School of Architecture,Postgraduate (taught),All,All,All,Scotland,0
10008071,AA School of Architecture,Postgraduate (taught),All,All,All,Northern Ireland,0
10008071,AA School of Architecture,Postgraduate (taught),All,All,All,Other UK,0
10008071,AA School of Architecture,Postgraduate (taught),All,All,All,Total UK,30
10008071,AA School of Architecture,Postgraduate (taught),All,All,All,Total Non-UK,410
10008071,AA School of Architecture,Postgraduate (taught),All,All,All,Not known,0
10008071,AA School of Architecture,Postgraduate (taught),All,All,All,Total,440
